,id,date,days_after_open,day_of_week,hours_after_open,drink_id,quantity,raining,study_area_id,location_name,dist_to_cafe,drink_name,order_sales
26,26,2019-07-22,0,Mon,2,13,2,Yes,0,Fisher Library (F03),70.0,Mocha (L),10.8
27,27,2019-07-22,0,Mon,2,1,1,Yes,0,Fisher Library (F03),70.0,Ristretto,3.3
28,28,2019-07-22,0,Mon,2,9,1,Yes,1,Law Library (F10),84.0,Cappuccino (L),4.9
29,29,2019-07-22,0,Mon,2,3,2,Yes,1,Law Library (F10),84.0,Long Black (L),8.0
30,30,2019-07-22,0,Mon,3,10,2,No,3,Abercrombie (H70),700.0,Cappuccino (S),8.0
31,31,2019-07-22,0,Mon,3,13,2,No,3,Abercrombie (H70),700.0,Mocha (L),10.8
32,32,2019-07-22,0,Mon,3,2,1,No,1,Law Library (F10),84.0,Macchiato,3.8
33,33,2019-07-22,0,Mon,3,12,1,No,1,Law Library (F10),84.0,Chai Latte (S),3.6
34,34,2019-07-22,0,Mon,3,1,1,NA,-1,,,Ristretto,3.3
35,35,2019-07-22,0,Mon,3,8,2,No,2,The Quarter (A16),400.0,Latte (S),8.0
36,36,2019-07-22,0,Mon,3,11,2,No,6,Peter Nicol Russell (PNR),950.0,Chai Latte (L),8.8
37,37,2019-07-22,0,Mon,3,12,1,No,5,Carslaw (F07),150.0,Chai Latte (S),3.6
38,38,2019-07-22,0,Mon,3,3,1,No,3,Abercrombie (H70),700.0,Long Black (L),4.0
39,39,2019-07-22,0,Mon,4,10,1,Yes,5,Carslaw (F07),150.0,Cappuccino (S),4.0
40,40,2019-07-22,0,Mon,4,4,2,Yes,1,Law Library (F10),84.0,Long Black (S),7.6
41,41,2019-07-22,0,Mon,4,14,1,Yes,0,Fisher Library (F03),70.0,Mocha (S),4.5
42,42,2019-07-22,0,Mon,5,1,1,No,2,The Quarter (A16),400.0,Ristretto,3.3
43,43,2019-07-22,0,Mon,5,11,1,No,6,Peter Nicol Russell (PNR),950.0,Chai Latte (L),4.4
44,44,2019-07-22,0,Mon,5,3,4,No,5,Carslaw (F07),150.0,Long Black (L),16.0
45,45,2019-07-22,0,Mon,5,0,1,No,3,Abercrombie (H70),700.0,Espresso,3.5
46,46,2019-07-22,0,Mon,5,0,1,No,4,Brennan MacCallum (A18),350.0,Espresso,3.5
47,47,2019-07-22,0,Mon,5,9,1,No,0,Fisher Library (F03),70.0,Cappuccino (L),4.9
48,48,2019-07-22,0,Mon,5,15,1,No,5,Carslaw (F07),150.0,Hot Chocolate (L),4.6
49,49,2019-07-22,0,Mon,5,1,1,No,0,Fisher Library (F03),70.0,Ristretto,3.3
50,50,2019-07-23,1,Tue,0,14,1,No,1,Law Library (F10),84.0,Mocha (S),4.5
51,51,2019-07-23,1,Tue,0,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
52,52,2019-07-23,1,Tue,0,2,1,No,5,Carslaw (F07),150.0,Macchiato,3.8
53,53,2019-07-23,1,Tue,0,5,1,No,3,Abercrombie (H70),700.0,Flat White (L),4.9
54,54,2019-07-23,1,Tue,0,0,1,No,2,The Quarter (A16),400.0,Espresso,3.5
55,55,2019-07-23,1,Tue,0,10,3,No,0,Fisher Library (F03),70.0,Cappuccino (S),12.0
56,56,2019-07-23,1,Tue,0,12,2,No,5,Carslaw (F07),150.0,Chai Latte (S),7.2
57,57,2019-07-23,1,Tue,0,2,2,No,5,Carslaw (F07),150.0,Macchiato,7.6
58,58,2019-07-23,1,Tue,0,2,1,No,0,Fisher Library (F03),70.0,Macchiato,3.8
59,59,2019-07-23,1,Tue,0,16,1,No,0,Fisher Library (F03),70.0,Hot Chocolate (S),3.8
60,60,2019-07-23,1,Tue,0,7,1,No,6,Peter Nicol Russell (PNR),950.0,Latte (L),4.9
61,61,2019-07-23,1,Tue,0,9,1,No,4,Brennan MacCallum (A18),350.0,Cappuccino (L),4.9
62,62,2019-07-23,1,Tue,1,2,1,No,1,Law Library (F10),84.0,Macchiato,3.8
63,63,2019-07-23,1,Tue,1,8,1,No,4,Brennan MacCallum (A18),350.0,Latte (S),4.0
64,64,2019-07-23,1,Tue,1,10,1,No,5,Carslaw (F07),150.0,Cappuccino (S),4.0
65,65,2019-07-23,1,Tue,1,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
66,66,2019-07-23,1,Tue,1,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
67,67,2019-07-23,1,Tue,1,12,1,No,6,Peter Nicol Russell (PNR),950.0,Chai Latte (S),3.6
68,68,2019-07-23,1,Tue,1,3,1,No,6,Peter Nicol Russell (PNR),950.0,Long Black (L),4.0
69,69,2019-07-23,1,Tue,1,9,1,No,1,Law Library (F10),84.0,Cappuccino (L),4.9
70,70,2019-07-23,1,Tue,1,0,1,No,4,Brennan MacCallum (A18),350.0,Espresso,3.5
71,71,2019-07-23,1,Tue,1,16,1,No,5,Carslaw (F07),150.0,Hot Chocolate (S),3.8
72,72,2019-07-23,1,Tue,2,12,1,No,0,Fisher Library (F03),70.0,Chai Latte (S),3.6
73,73,2019-07-23,1,Tue,2,1,1,No,2,The Quarter (A16),400.0,Ristretto,3.3
74,74,2019-07-23,1,Tue,2,13,1,No,0,Fisher Library (F03),70.0,Mocha (L),5.4
75,75,2019-07-23,1,Tue,2,15,3,No,1,Law Library (F10),84.0,Hot Chocolate (L),13.799999999999999
76,76,2019-07-23,1,Tue,2,4,1,No,4,Brennan MacCallum (A18),350.0,Long Black (S),3.8
77,77,2019-07-23,1,Tue,2,12,1,No,2,The Quarter (A16),400.0,Chai Latte (S),3.6
78,78,2019-07-23,1,Tue,2,1,1,No,5,Carslaw (F07),150.0,Ristretto,3.3
79,79,2019-07-23,1,Tue,2,9,1,NA,-1,,,Cappuccino (L),4.9
80,80,2019-07-23,1,Tue,2,5,1,No,2,The Quarter (A16),400.0,Flat White (L),4.9
81,81,2019-07-23,1,Tue,2,15,3,No,0,Fisher Library (F03),70.0,Hot Chocolate (L),13.799999999999999
82,82,2019-07-23,1,Tue,2,10,1,No,3,Abercrombie (H70),700.0,Cappuccino (S),4.0
83,83,2019-07-23,1,Tue,2,2,1,No,1,Law Library (F10),84.0,Macchiato,3.8
84,84,2019-07-23,1,Tue,3,4,4,No,5,Carslaw (F07),150.0,Long Black (S),15.2
85,85,2019-07-23,1,Tue,3,2,4,No,4,Brennan MacCallum (A18),350.0,Macchiato,15.2
86,86,2019-07-23,1,Tue,3,9,3,No,0,Fisher Library (F03),70.0,Cappuccino (L),14.700000000000001
87,87,2019-07-23,1,Tue,3,15,2,No,0,Fisher Library (F03),70.0,Hot Chocolate (L),9.2
88,88,2019-07-23,1,Tue,3,2,1,No,3,Abercrombie (H70),700.0,Macchiato,3.8
89,89,2019-07-23,1,Tue,3,9,3,No,0,Fisher Library (F03),70.0,Cappuccino (L),14.700000000000001
90,90,2019-07-23,1,Tue,3,16,1,No,4,Brennan MacCallum (A18),350.0,Hot Chocolate (S),3.8
91,91,2019-07-23,1,Tue,3,5,1,No,0,Fisher Library (F03),70.0,Flat White (L),4.9
92,92,2019-07-23,1,Tue,3,3,1,No,1,Law Library (F10),84.0,Long Black (L),4.0
93,93,2019-07-23,1,Tue,3,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
94,94,2019-07-23,1,Tue,3,5,1,No,1,Law Library (F10),84.0,Flat White (L),4.9
95,95,2019-07-23,1,Tue,4,9,1,No,5,Carslaw (F07),150.0,Cappuccino (L),4.9
96,96,2019-07-23,1,Tue,4,14,1,No,4,Brennan MacCallum (A18),350.0,Mocha (S),4.5
97,97,2019-07-23,1,Tue,4,15,1,No,2,The Quarter (A16),400.0,Hot Chocolate (L),4.6
98,98,2019-07-23,1,Tue,4,2,3,No,3,Abercrombie (H70),700.0,Macchiato,11.399999999999999
99,99,2019-07-23,1,Tue,4,15,1,No,4,Brennan MacCallum (A18),350.0,Hot Chocolate (L),4.6
100,100,2019-07-23,1,Tue,4,0,1,No,5,Carslaw (F07),150.0,Espresso,3.5
101,101,2019-07-23,1,Tue,4,8,1,No,1,Law Library (F10),84.0,Latte (S),4.0
102,102,2019-07-23,1,Tue,4,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
103,103,2019-07-23,1,Tue,4,11,1,No,4,Brennan MacCallum (A18),350.0,Chai Latte (L),4.4
104,104,2019-07-23,1,Tue,5,1,1,No,0,Fisher Library (F03),70.0,Ristretto,3.3
105,105,2019-07-23,1,Tue,5,7,1,No,6,Peter Nicol Russell (PNR),950.0,Latte (L),4.9
106,106,2019-07-23,1,Tue,5,5,1,No,4,Brennan MacCallum (A18),350.0,Flat White (L),4.9
107,107,2019-07-23,1,Tue,5,3,1,No,0,Fisher Library (F03),70.0,Long Black (L),4.0
108,108,2019-07-23,1,Tue,5,6,1,No,0,Fisher Library (F03),70.0,Flat White (S),4.0
109,109,2019-07-23,1,Tue,5,13,1,No,1,Law Library (F10),84.0,Mocha (L),5.4
110,110,2019-07-23,1,Tue,5,0,2,No,1,Law Library (F10),84.0,Espresso,7.0
111,111,2019-07-23,1,Tue,5,2,1,No,5,Carslaw (F07),150.0,Macchiato,3.8
112,112,2019-07-24,2,Wed,0,12,2,No,2,The Quarter (A16),400.0,Chai Latte (S),7.2
113,113,2019-07-24,2,Wed,0,8,1,No,0,Fisher Library (F03),70.0,Latte (S),4.0
114,114,2019-07-24,2,Wed,0,1,2,No,3,Abercrombie (H70),700.0,Ristretto,6.6
115,115,2019-07-24,2,Wed,0,5,1,No,5,Carslaw (F07),150.0,Flat White (L),4.9
116,116,2019-07-24,2,Wed,0,1,1,No,0,Fisher Library (F03),70.0,Ristretto,3.3
117,117,2019-07-24,2,Wed,0,14,3,No,0,Fisher Library (F03),70.0,Mocha (S),13.5
118,118,2019-07-24,2,Wed,0,6,1,No,1,Law Library (F10),84.0,Flat White (S),4.0
119,119,2019-07-24,2,Wed,0,13,2,No,4,Brennan MacCallum (A18),350.0,Mocha (L),10.8
120,120,2019-07-24,2,Wed,0,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
121,121,2019-07-24,2,Wed,0,16,1,No,2,The Quarter (A16),400.0,Hot Chocolate (S),3.8
122,122,2019-07-24,2,Wed,0,6,1,No,5,Carslaw (F07),150.0,Flat White (S),4.0
123,123,2019-07-24,2,Wed,0,11,1,No,1,Law Library (F10),84.0,Chai Latte (L),4.4
124,124,2019-07-24,2,Wed,0,10,2,No,2,The Quarter (A16),400.0,Cappuccino (S),8.0
125,125,2019-07-24,2,Wed,0,2,1,No,0,Fisher Library (F03),70.0,Macchiato,3.8
126,126,2019-07-24,2,Wed,0,13,1,No,4,Brennan MacCallum (A18),350.0,Mocha (L),5.4
127,127,2019-07-24,2,Wed,0,12,1,No,6,Peter Nicol Russell (PNR),950.0,Chai Latte (S),3.6
128,128,2019-07-24,2,Wed,1,0,4,No,3,Abercrombie (H70),700.0,Espresso,14.0
129,129,2019-07-24,2,Wed,1,4,2,No,6,Peter Nicol Russell (PNR),950.0,Long Black (S),7.6
130,130,2019-07-24,2,Wed,1,6,1,No,5,Carslaw (F07),150.0,Flat White (S),4.0
131,131,2019-07-24,2,Wed,1,4,1,No,2,The Quarter (A16),400.0,Long Black (S),3.8
132,132,2019-07-24,2,Wed,1,8,1,No,0,Fisher Library (F03),70.0,Latte (S),4.0
133,133,2019-07-24,2,Wed,1,12,1,No,1,Law Library (F10),84.0,Chai Latte (S),3.6
134,134,2019-07-24,2,Wed,1,3,1,No,3,Abercrombie (H70),700.0,Long Black (L),4.0
135,135,2019-07-24,2,Wed,1,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
136,136,2019-07-24,2,Wed,1,14,1,NA,-1,,,Mocha (S),4.5
137,137,2019-07-24,2,Wed,1,12,1,No,5,Carslaw (F07),150.0,Chai Latte (S),3.6
138,138,2019-07-24,2,Wed,1,7,1,No,2,The Quarter (A16),400.0,Latte (L),4.9
139,139,2019-07-24,2,Wed,1,5,1,No,0,Fisher Library (F03),70.0,Flat White (L),4.9
140,140,2019-07-24,2,Wed,1,8,1,No,5,Carslaw (F07),150.0,Latte (S),4.0
141,141,2019-07-24,2,Wed,1,16,1,No,5,Carslaw (F07),150.0,Hot Chocolate (S),3.8
142,142,2019-07-24,2,Wed,2,13,1,No,1,Law Library (F10),84.0,Mocha (L),5.4
143,143,2019-07-24,2,Wed,2,2,1,No,6,Peter Nicol Russell (PNR),950.0,Macchiato,3.8
144,144,2019-07-24,2,Wed,2,3,1,No,0,Fisher Library (F03),70.0,Long Black (L),4.0
145,145,2019-07-24,2,Wed,2,14,1,No,5,Carslaw (F07),150.0,Mocha (S),4.5
146,146,2019-07-24,2,Wed,2,9,1,No,6,Peter Nicol Russell (PNR),950.0,Cappuccino (L),4.9
147,147,2019-07-24,2,Wed,2,9,1,No,1,Law Library (F10),84.0,Cappuccino (L),4.9
148,148,2019-07-24,2,Wed,2,16,1,No,1,Law Library (F10),84.0,Hot Chocolate (S),3.8
149,149,2019-07-24,2,Wed,2,16,1,No,2,The Quarter (A16),400.0,Hot Chocolate (S),3.8
150,150,2019-07-24,2,Wed,2,1,1,No,0,Fisher Library (F03),70.0,Ristretto,3.3
151,151,2019-07-24,2,Wed,2,13,1,No,3,Abercrombie (H70),700.0,Mocha (L),5.4
152,152,2019-07-24,2,Wed,2,3,3,No,2,The Quarter (A16),400.0,Long Black (L),12.0
153,153,2019-07-24,2,Wed,2,4,1,No,0,Fisher Library (F03),70.0,Long Black (S),3.8
154,154,2019-07-24,2,Wed,2,14,1,No,2,The Quarter (A16),400.0,Mocha (S),4.5
155,155,2019-07-24,2,Wed,2,9,2,No,2,The Quarter (A16),400.0,Cappuccino (L),9.8
156,156,2019-07-24,2,Wed,2,10,1,No,4,Brennan MacCallum (A18),350.0,Cappuccino (S),4.0
157,157,2019-07-24,2,Wed,2,2,1,No,3,Abercrombie (H70),700.0,Macchiato,3.8
158,158,2019-07-24,2,Wed,3,9,1,Yes,1,Law Library (F10),84.0,Cappuccino (L),4.9
159,159,2019-07-24,2,Wed,3,7,1,Yes,0,Fisher Library (F03),70.0,Latte (L),4.9
160,160,2019-07-24,2,Wed,3,6,1,Yes,1,Law Library (F10),84.0,Flat White (S),4.0
161,161,2019-07-24,2,Wed,3,1,1,Yes,5,Carslaw (F07),150.0,Ristretto,3.3
162,162,2019-07-24,2,Wed,3,7,1,Yes,0,Fisher Library (F03),70.0,Latte (L),4.9
163,163,2019-07-24,2,Wed,3,2,1,Yes,0,Fisher Library (F03),70.0,Macchiato,3.8
164,164,2019-07-24,2,Wed,3,4,2,Yes,1,Law Library (F10),84.0,Long Black (S),7.6
165,165,2019-07-24,2,Wed,4,3,1,Yes,0,Fisher Library (F03),70.0,Long Black (L),4.0
166,166,2019-07-24,2,Wed,4,7,1,Yes,1,Law Library (F10),84.0,Latte (L),4.9
167,167,2019-07-24,2,Wed,4,6,2,Yes,1,Law Library (F10),84.0,Flat White (S),8.0
168,168,2019-07-24,2,Wed,4,4,1,Yes,1,Law Library (F10),84.0,Long Black (S),3.8
169,169,2019-07-24,2,Wed,4,5,1,Yes,0,Fisher Library (F03),70.0,Flat White (L),4.9
170,170,2019-07-24,2,Wed,4,7,1,Yes,5,Carslaw (F07),150.0,Latte (L),4.9
171,171,2019-07-24,2,Wed,4,12,1,Yes,0,Fisher Library (F03),70.0,Chai Latte (S),3.6
172,172,2019-07-24,2,Wed,5,11,1,No,0,Fisher Library (F03),70.0,Chai Latte (L),4.4
173,173,2019-07-24,2,Wed,5,5,1,No,0,Fisher Library (F03),70.0,Flat White (L),4.9
174,174,2019-07-24,2,Wed,5,15,1,No,1,Law Library (F10),84.0,Hot Chocolate (L),4.6
175,175,2019-07-24,2,Wed,5,9,2,No,2,The Quarter (A16),400.0,Cappuccino (L),9.8
176,176,2019-07-24,2,Wed,5,2,1,No,5,Carslaw (F07),150.0,Macchiato,3.8
177,177,2019-07-24,2,Wed,5,16,1,No,2,The Quarter (A16),400.0,Hot Chocolate (S),3.8
178,178,2019-07-24,2,Wed,5,2,1,No,6,Peter Nicol Russell (PNR),950.0,Macchiato,3.8
179,179,2019-07-24,2,Wed,5,1,1,No,5,Carslaw (F07),150.0,Ristretto,3.3
180,180,2019-07-24,2,Wed,5,3,1,No,5,Carslaw (F07),150.0,Long Black (L),4.0
181,181,2019-07-25,3,Thu,0,5,1,Yes,0,Fisher Library (F03),70.0,Flat White (L),4.9
182,182,2019-07-25,3,Thu,0,4,3,NA,-1,,,Long Black (S),11.399999999999999
183,183,2019-07-25,3,Thu,0,14,2,Yes,0,Fisher Library (F03),70.0,Mocha (S),9.0
184,184,2019-07-25,3,Thu,0,7,1,Yes,0,Fisher Library (F03),70.0,Latte (L),4.9
185,185,2019-07-25,3,Thu,0,16,1,Yes,1,Law Library (F10),84.0,Hot Chocolate (S),3.8
186,186,2019-07-25,3,Thu,0,3,1,Yes,0,Fisher Library (F03),70.0,Long Black (L),4.0
187,187,2019-07-25,3,Thu,0,8,2,Yes,0,Fisher Library (F03),70.0,Latte (S),8.0
188,188,2019-07-25,3,Thu,0,14,1,Yes,1,Law Library (F10),84.0,Mocha (S),4.5
189,189,2019-07-25,3,Thu,1,3,1,No,2,The Quarter (A16),400.0,Long Black (L),4.0
190,190,2019-07-25,3,Thu,1,16,1,No,0,Fisher Library (F03),70.0,Hot Chocolate (S),3.8
191,191,2019-07-25,3,Thu,1,1,1,No,3,Abercrombie (H70),700.0,Ristretto,3.3
192,192,2019-07-25,3,Thu,1,16,1,No,4,Brennan MacCallum (A18),350.0,Hot Chocolate (S),3.8
193,193,2019-07-25,3,Thu,1,5,1,No,5,Carslaw (F07),150.0,Flat White (L),4.9
194,194,2019-07-25,3,Thu,1,14,1,No,5,Carslaw (F07),150.0,Mocha (S),4.5
195,195,2019-07-25,3,Thu,1,6,1,No,3,Abercrombie (H70),700.0,Flat White (S),4.0
196,196,2019-07-25,3,Thu,1,14,1,No,4,Brennan MacCallum (A18),350.0,Mocha (S),4.5
197,197,2019-07-25,3,Thu,1,14,1,No,4,Brennan MacCallum (A18),350.0,Mocha (S),4.5
198,198,2019-07-25,3,Thu,1,4,2,No,0,Fisher Library (F03),70.0,Long Black (S),7.6
199,199,2019-07-25,3,Thu,1,3,1,No,5,Carslaw (F07),150.0,Long Black (L),4.0
200,200,2019-07-25,3,Thu,1,7,1,NA,-1,,,Latte (L),4.9
201,201,2019-07-25,3,Thu,1,9,1,No,3,Abercrombie (H70),700.0,Cappuccino (L),4.9
202,202,2019-07-25,3,Thu,1,4,3,No,5,Carslaw (F07),150.0,Long Black (S),11.399999999999999
203,203,2019-07-25,3,Thu,1,14,1,No,1,Law Library (F10),84.0,Mocha (S),4.5
204,204,2019-07-25,3,Thu,1,0,1,No,3,Abercrombie (H70),700.0,Espresso,3.5
205,205,2019-07-25,3,Thu,2,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
206,206,2019-07-25,3,Thu,2,12,3,No,5,Carslaw (F07),150.0,Chai Latte (S),10.8
207,207,2019-07-25,3,Thu,2,0,1,No,1,Law Library (F10),84.0,Espresso,3.5
208,208,2019-07-25,3,Thu,2,9,1,No,3,Abercrombie (H70),700.0,Cappuccino (L),4.9
209,209,2019-07-25,3,Thu,2,9,1,No,4,Brennan MacCallum (A18),350.0,Cappuccino (L),4.9
210,210,2019-07-25,3,Thu,2,10,1,No,5,Carslaw (F07),150.0,Cappuccino (S),4.0
211,211,2019-07-25,3,Thu,2,7,1,No,1,Law Library (F10),84.0,Latte (L),4.9
212,212,2019-07-25,3,Thu,2,15,1,No,0,Fisher Library (F03),70.0,Hot Chocolate (L),4.6
213,213,2019-07-25,3,Thu,2,1,1,No,2,The Quarter (A16),400.0,Ristretto,3.3
214,214,2019-07-25,3,Thu,2,15,2,No,5,Carslaw (F07),150.0,Hot Chocolate (L),9.2
215,215,2019-07-25,3,Thu,2,2,1,No,5,Carslaw (F07),150.0,Macchiato,3.8
216,216,2019-07-25,3,Thu,2,12,1,No,3,Abercrombie (H70),700.0,Chai Latte (S),3.6
217,217,2019-07-25,3,Thu,2,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
218,218,2019-07-25,3,Thu,3,0,2,No,6,Peter Nicol Russell (PNR),950.0,Espresso,7.0
219,219,2019-07-25,3,Thu,3,0,1,No,3,Abercrombie (H70),700.0,Espresso,3.5
220,220,2019-07-25,3,Thu,3,10,1,No,5,Carslaw (F07),150.0,Cappuccino (S),4.0
221,221,2019-07-25,3,Thu,3,8,2,No,1,Law Library (F10),84.0,Latte (S),8.0
222,222,2019-07-25,3,Thu,3,2,1,No,0,Fisher Library (F03),70.0,Macchiato,3.8
223,223,2019-07-25,3,Thu,3,10,1,No,6,Peter Nicol Russell (PNR),950.0,Cappuccino (S),4.0
224,224,2019-07-25,3,Thu,3,16,1,No,5,Carslaw (F07),150.0,Hot Chocolate (S),3.8
225,225,2019-07-25,3,Thu,3,4,1,No,2,The Quarter (A16),400.0,Long Black (S),3.8
226,226,2019-07-25,3,Thu,3,15,1,No,3,Abercrombie (H70),700.0,Hot Chocolate (L),4.6
227,227,2019-07-25,3,Thu,3,9,1,No,1,Law Library (F10),84.0,Cappuccino (L),4.9
228,228,2019-07-25,3,Thu,3,4,2,No,2,The Quarter (A16),400.0,Long Black (S),7.6
229,229,2019-07-25,3,Thu,3,3,1,No,0,Fisher Library (F03),70.0,Long Black (L),4.0
230,230,2019-07-25,3,Thu,3,6,2,No,0,Fisher Library (F03),70.0,Flat White (S),8.0
231,231,2019-07-25,3,Thu,4,14,1,No,1,Law Library (F10),84.0,Mocha (S),4.5
232,232,2019-07-25,3,Thu,4,6,1,No,4,Brennan MacCallum (A18),350.0,Flat White (S),4.0
233,233,2019-07-25,3,Thu,4,7,1,No,0,Fisher Library (F03),70.0,Latte (L),4.9
234,234,2019-07-25,3,Thu,4,9,1,No,3,Abercrombie (H70),700.0,Cappuccino (L),4.9
235,235,2019-07-25,3,Thu,4,4,2,No,1,Law Library (F10),84.0,Long Black (S),7.6
236,236,2019-07-25,3,Thu,4,3,2,No,4,Brennan MacCallum (A18),350.0,Long Black (L),8.0
237,237,2019-07-25,3,Thu,4,9,1,No,1,Law Library (F10),84.0,Cappuccino (L),4.9
238,238,2019-07-25,3,Thu,4,13,2,No,4,Brennan MacCallum (A18),350.0,Mocha (L),10.8
239,239,2019-07-25,3,Thu,4,0,1,No,5,Carslaw (F07),150.0,Espresso,3.5
240,240,2019-07-25,3,Thu,4,2,1,No,5,Carslaw (F07),150.0,Macchiato,3.8
241,241,2019-07-25,3,Thu,5,6,1,Yes,1,Law Library (F10),84.0,Flat White (S),4.0
242,242,2019-07-25,3,Thu,5,6,1,Yes,1,Law Library (F10),84.0,Flat White (S),4.0
243,243,2019-07-25,3,Thu,5,12,1,Yes,1,Law Library (F10),84.0,Chai Latte (S),3.6
244,244,2019-07-26,4,Fri,0,5,1,Yes,0,Fisher Library (F03),70.0,Flat White (L),4.9
245,245,2019-07-26,4,Fri,0,10,1,Yes,1,Law Library (F10),84.0,Cappuccino (S),4.0
246,246,2019-07-26,4,Fri,0,3,1,Yes,0,Fisher Library (F03),70.0,Long Black (L),4.0
247,247,2019-07-26,4,Fri,0,16,1,Yes,5,Carslaw (F07),150.0,Hot Chocolate (S),3.8
248,248,2019-07-26,4,Fri,0,5,1,Yes,0,Fisher Library (F03),70.0,Flat White (L),4.9
249,249,2019-07-26,4,Fri,0,15,1,Yes,1,Law Library (F10),84.0,Hot Chocolate (L),4.6
250,250,2019-07-26,4,Fri,1,15,1,No,4,Brennan MacCallum (A18),350.0,Hot Chocolate (L),4.6
251,251,2019-07-26,4,Fri,1,9,1,No,0,Fisher Library (F03),70.0,Cappuccino (L),4.9
252,252,2019-07-26,4,Fri,1,9,1,No,5,Carslaw (F07),150.0,Cappuccino (L),4.9
253,253,2019-07-26,4,Fri,1,8,2,No,1,Law Library (F10),84.0,Latte (S),8.0
254,254,2019-07-26,4,Fri,1,16,1,No,4,Brennan MacCallum (A18),350.0,Hot Chocolate (S),3.8
255,255,2019-07-26,4,Fri,1,11,1,No,4,Brennan MacCallum (A18),350.0,Chai Latte (L),4.4
256,256,2019-07-26,4,Fri,1,10,2,No,3,Abercrombie (H70),700.0,Cappuccino (S),8.0
257,257,2019-07-26,4,Fri,1,8,1,No,4,Brennan MacCallum (A18),350.0,Latte (S),4.0
258,258,2019-07-26,4,Fri,1,9,2,NA,-1,,,Cappuccino (L),9.8
259,259,2019-07-26,4,Fri,1,16,1,No,5,Carslaw (F07),150.0,Hot Chocolate (S),3.8
260,260,2019-07-26,4,Fri,2,15,1,No,6,Peter Nicol Russell (PNR),950.0,Hot Chocolate (L),4.6
261,261,2019-07-26,4,Fri,2,3,1,No,0,Fisher Library (F03),70.0,Long Black (L),4.0
262,262,2019-07-26,4,Fri,2,1,1,No,0,Fisher Library (F03),70.0,Ristretto,3.3
